algoritmo,n_clusters,silhouette,calinski,davies,f1_macro,f1_micro,adj_rand_score,nmi_score
KMeans_k=6,6,0.034499109832825406,252.1702209762386,6.128351562713394,0.00011134960724066252,0.025235553798510904,0.0020725838973159987,0.20710180700201622
GMM_k=6,6,-0.010035370728422475,248.230690004463,6.230237943038098,0.00013485213019165794,0.02675100480990973,0.002636702391422919,0.2202134492583709
Agglomerativo_k=6,6,0.016239471686986053,222.35687496054786,6.370137396481074,0.00010718598867585168,0.02490610792646768,0.002335204123894857,0.1973961060833148
KMeans_k=7,7,0.02164834106946008,220.30555391511106,6.22048510865781,0.000137689577232337,0.026421558937866508,0.0022311200999144583,0.22233441001850907
GMM_k=7,7,-0.014821614771876903,217.57666702563415,6.490539952668493,0.0001415661935461178,0.02813467747249127,0.0026893536826198814,0.2337728067440528
Agglomerativo_k=7,7,0.016854774835186888,192.37867661546358,7.437862643293966,0.00014777478336606555,0.028595901693351782,0.0021368127572295747,0.2088687040717092
KMeans_k=8,8,-0.014931488612523063,197.73122214794478,6.606250143657963,0.00015649903606969892,0.028727680042169072,0.0032088422908809577,0.2473801853772881
GMM_k=8,8,-0.027186101719764866,196.66978273477739,6.7642373223913195,0.00016313156970522127,0.029320682611846872,0.003334514504788569,0.247838855405477
Agglomerativo_k=8,8,0.018131850302872,170.32980907681443,7.627926111400044,0.00017484485470755629,0.030638466100019766,0.0020737006476223632,0.21855091477920477
KMeans_k=10,10,-0.004608791912426865,160.419042874773,6.897555939834271,0.00023238302560041964,0.03175858206496673,0.0031691525882496215,0.25622033821819684
GMM_k=10,10,-0.01875501811947633,159.54380172194053,7.043338580512834,0.00023365405760993722,0.032153917111418594,0.003385532630980473,0.2578037786702721
Agglomerativo_k=10,10,0.004897105844756991,140.24421914275015,8.644277127963905,0.00017688716081548436,0.03175858206496673,0.0022920191644476835,0.24056065737117788
KMeans_k=20,20,-0.05305292952268454,88.94500641265354,6.539794426357945,0.0008774500493937627,0.04289385254002767,0.00482597393106535,0.3179610113079086
GMM_k=20,20,-0.05745861850342651,88.77860265601443,6.57701380036674,0.0008776376084627336,0.04295974171443632,0.004895214070993944,0.31850335207581154
Agglomerativo_k=20,20,-0.17330678069442929,78.66759289119342,6.638698218222241,0.0009504643837719104,0.03874283455228306,0.0028703512145477976,0.28431804401894184
KMeans_k=50,50,-0.0950623664527404,42.22834678377327,5.645671001019924,0.001729007973955874,0.050800553469065035,0.007040491132509809,0.37857576192096026
GMM_k=50,50,-0.0956618676696115,42.216508165687685,5.650770420638412,0.0017279921694816883,0.05066877512024774,0.007015128222847963,0.37845871307617174
Agglomerativo_k=50,50,-0.17008810374040523,39.00212476204572,5.648837365521858,0.002565301412498144,0.05099822099229097,0.004410462811948508,0.3399548773561666
DBSCAN_eps=0.5,0,,,,0.0,0.0,0.0,0.0
DBSCAN_eps=1.0,1,,5.820969881587403,2.531744305730491,0.0,0.0,0.0,0.0
DBSCAN_eps=2.0,1,,73.42591904452532,3.010797837055919,0.0,0.0,0.0,0.0
OPTICS,1,,64.5152675929962,1.7718752196535794,0.0,0.0,0.0,0.0
Birch_k=20,20,-0.04940864259952611,78.61298538069126,6.63834598677844,0.0009338394779593754,0.037820386110562036,0.0028898093639331676,0.2801386903292287
